13:22:45 [EventWingMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 1000000)
13:22:46 [EventWingMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 1000000)
13:55:03 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1500000, NewLevel:10)
13:55:03 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1750000, NewLevel:0)
13:55:04 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 150000, NewLevel:0)
13:55:05 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 150000, NewLevel:1)
13:55:06 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 300000, NewLevel:2)
13:55:06 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:3)
13:55:07 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:2)
13:55:08 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:1)
13:55:09 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 300000, NewLevel:2)
13:55:10 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:3)
13:55:11 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:2)
13:55:11 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:3)
13:55:12 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:4)
13:55:13 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 750000, NewLevel:5)
13:55:13 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 900000, NewLevel:4)
13:55:14 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 750000, NewLevel:5)
13:55:15 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 900000, NewLevel:4)
13:55:16 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 750000, NewLevel:3)
13:55:17 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:2)
13:55:17 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:3)
13:55:18 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:2)
13:55:19 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:1)
13:55:20 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 300000, NewLevel:2)
13:55:20 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:3)
13:55:21 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:4)
13:55:22 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 750000, NewLevel:5)
13:55:23 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 900000, NewLevel:4)
13:55:23 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 750000, NewLevel:5)
13:55:24 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 900000, NewLevel:6)
14:08:22 [ElementalItemRefinemenJewelMix][Success][kudoshjn][IKBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
14:08:24 [ElementalItemRefinemenJewelMix][Failure][kudoshjn][IKBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
14:08:27 [ElementalItemRefinemenJewelMix][Failure][kudoshjn][IKBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
14:08:29 [ElementalItemRefinemenJewelMix][Failure][kudoshjn][IKBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
14:08:35 [ElementalItemRefinemenJewelMix][Failure][kudoshjn][IKBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
14:08:37 [ElementalItemRefinemenJewelMix][Success][kudoshjn][IKBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
14:15:01 [CGSocketSystemCombinationExtractSeedRecv][Success][kudoshjn][IKBiv] - (MixRate: 100, MixMoney: 10000000)
14:15:03 [CGSocketSystemCombinationExtractSeedRecv][Success][kudoshjn][IKBiv] - (MixRate: 100, MixMoney: 10000000)
14:15:21 [CGSocketSystemCombinationExtractSeedRecv][Success][kudoshjn][IKBiv] - (MixRate: 100, MixMoney: 10000000)
14:15:24 [CGSocketSystemCombinationExtractSeedRecv][Success][kudoshjn][IKBiv] - (MixRate: 100, MixMoney: 10000000)
14:15:26 [CGSocketSystemCombinationExtractSeedRecv][Success][kudoshjn][IKBiv] - (MixRate: 100, MixMoney: 10000000)
14:15:38 [CGSocketSystemCombinationExtractSeedRecv][Success][kudoshjn][IKBiv] - (MixRate: 100, MixMoney: 10000000)
14:15:42 [CGSocketSystemCombinationExtractSeedRecv][Success][kudoshjn][IKBiv] - (MixRate: 100, MixMoney: 10000000)
14:16:03 [CGSocketSystemCombinationExtractSeedRecv][Success][kudoshjn][IKBiv] - (MixRate: 100, MixMoney: 10000000)
14:17:09 [CGSocketSystemCombinationExtractSeedRecv][Success][kudoshjn][IKBiv] - (MixRate: 100, MixMoney: 10000000)
14:18:20 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:18:21 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:18:23 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:18:25 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:18:27 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:18:29 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:22:36 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:22:39 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:22:42 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:22:44 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:22:46 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:22:48 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:27:06 [PetMix][Success][kudoshjn][IKBiv] - (Type: 6615, ChaosSuccessRate: 1000000, ChaosMoney: 1000000)
14:27:18 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 1050000, NewLevel:7)
14:27:19 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 1200000, NewLevel:8)
14:27:20 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 1350000, NewLevel:9)
14:27:20 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 1500000, NewLevel:10)
14:27:21 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 1750000, NewLevel:11)
14:27:22 [GuardianResurrectionEnhancementRecv][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:10)
14:27:23 [GuardianResurrectionEnhancementRecv][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 1750000, NewLevel:9)
14:27:23 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 1500000, NewLevel:10)
14:27:24 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 1750000, NewLevel:11)
14:27:25 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:12)
14:27:25 [GuardianResurrectionEnhancementRecv][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2250000, NewLevel:11)
14:27:26 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:12)
14:27:27 [GuardianResurrectionEnhancementRecv][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2250000, NewLevel:11)
14:27:27 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:12)
14:27:28 [GuardianResurrectionEnhancementRecv][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2250000, NewLevel:11)
14:27:29 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:12)
14:27:30 [GuardianResurrectionEnhancementRecv][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2250000, NewLevel:11)
14:27:30 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:12)
14:27:31 [GuardianResurrectionEnhancementRecv][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2250000, NewLevel:11)
14:27:32 [GuardianResurrectionEnhancementRecv][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:10)
14:27:32 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 1750000, NewLevel:11)
14:27:33 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:12)
14:27:34 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2250000, NewLevel:13)
14:27:35 [GuardianResurrectionEnhancementRecv][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2500000, NewLevel:12)
14:27:35 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2250000, NewLevel:13)
14:27:36 [GuardianResurrectionEnhancementRecv][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2500000, NewLevel:12)
14:27:37 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2250000, NewLevel:13)
14:27:37 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 2500000, NewLevel:14)
14:27:38 [GuardianResurrectionEnhancementRecv][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 700000, ChaosMoney: 3000000, NewLevel:15)
14:29:14 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1050000, NewLevel:7)
14:29:15 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1200000, NewLevel:6)
14:29:16 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1050000, NewLevel:7)
14:29:17 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1200000, NewLevel:8)
14:29:17 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1350000, NewLevel:9)
14:29:18 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1500000, NewLevel:10)
14:29:19 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1750000, NewLevel:11)
14:29:20 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:12)
14:29:20 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 2250000, NewLevel:13)
14:29:21 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 2500000, NewLevel:14)
14:29:22 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 3000000, NewLevel:15)
14:29:53 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 150000, NewLevel:1)
14:29:54 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 300000, NewLevel:0)
14:29:55 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 150000, NewLevel:1)
14:29:56 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 300000, NewLevel:2)
14:29:57 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:3)
14:29:57 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:4)
14:29:58 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 750000, NewLevel:3)
14:29:59 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:2)
14:29:59 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:1)
14:30:00 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 300000, NewLevel:0)
14:30:01 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 150000, NewLevel:0)
14:30:02 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 150000, NewLevel:1)
14:30:03 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 300000, NewLevel:2)
14:30:04 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:3)
14:30:04 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:2)
14:30:05 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:3)
14:30:06 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:2)
14:30:06 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:1)
14:30:07 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 300000, NewLevel:2)
14:30:08 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:3)
14:30:08 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:2)
14:30:09 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:1)
14:30:10 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 300000, NewLevel:2)
14:30:11 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:3)
14:30:12 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:4)
14:30:12 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 750000, NewLevel:5)
14:30:13 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 900000, NewLevel:6)
14:30:14 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1050000, NewLevel:5)
14:30:14 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 900000, NewLevel:4)
14:30:15 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 750000, NewLevel:5)
14:30:16 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 900000, NewLevel:6)
14:30:17 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1050000, NewLevel:7)
14:30:17 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1200000, NewLevel:8)
14:30:18 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1350000, NewLevel:9)
14:30:19 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1500000, NewLevel:8)
14:30:19 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1350000, NewLevel:9)
14:30:20 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1500000, NewLevel:10)
14:30:21 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1750000, NewLevel:9)
14:30:22 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1500000, NewLevel:10)
14:30:22 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1750000, NewLevel:11)
14:30:23 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:12)
14:30:24 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 2250000, NewLevel:11)
14:30:25 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:10)
14:30:25 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1750000, NewLevel:11)
14:30:26 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:10)
14:30:27 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1750000, NewLevel:9)
14:30:27 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1500000, NewLevel:10)
14:30:28 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1750000, NewLevel:9)
14:30:29 [GuardianResurrectionEnhancementRecv][Failure][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1500000, NewLevel:8)
14:30:30 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1350000, NewLevel:9)
14:30:30 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1500000, NewLevel:10)
14:30:31 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 1750000, NewLevel:11)
14:30:32 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 2000000, NewLevel:12)
14:30:33 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 2250000, NewLevel:13)
14:30:33 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 2500000, NewLevel:14)
14:30:34 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 3000000, NewLevel:15)
14:30:42 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 150000, NewLevel:1)
14:30:43 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 300000, NewLevel:2)
14:30:43 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 450000, NewLevel:3)
14:30:44 [GuardianResurrectionEnhancementRecv][Success][test][ElfBuff] - (ChaosSuccessRate: 700000, ChaosMoney: 600000, NewLevel:4)
14:37:16 [Wing4Mix][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 40, ChaosMoney: 20000000)
14:37:32 [Wing4Mix][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 40, ChaosMoney: 20000000)
14:37:42 [Wing4Mix][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 40, ChaosMoney: 20000000)
14:42:30 [MasteryItemMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 0)
14:42:55 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
14:42:57 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
14:42:59 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
14:43:00 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
14:43:01 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
14:43:03 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
14:46:13 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 100000)
14:46:14 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 200000)
14:46:17 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 350000)
14:46:34 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 500000)
14:46:39 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 100000)
14:46:40 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 200000)
14:46:41 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 350000)
14:46:50 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 100000)
14:46:53 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 200000)
14:46:54 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 350000)
14:46:58 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 100000)
14:46:59 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 200000)
14:47:01 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 350000)
14:47:05 [ElementalItemRefinemenJewelUpgradeLevelMix][Success][test][ElfBuff] - (ElementalItemRefinemenSuccessRate: 100, ChaosMoney: 100000)
14:47:09 [ElementalItemRefinemenJewelUpgradeLevelMix][Success][test][ElfBuff] - (ElementalItemRefinemenSuccessRate: 100, ChaosMoney: 100000)
14:47:15 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 100000)
14:47:17 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 200000)
14:47:19 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 350000)
14:47:26 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 500000)
14:47:29 [PentagramJewelUpgradeLevelMix][Success][test][ElfBuff] - (ChaosSuccessRate: 100, ChaosMoney: 100000)
