00:29:22 [MasteryItemMix][Success][loukoala1][TEST] - (ChaosSuccessRate: 100, ChaosMoney: 0)
00:30:43 [MasteryItemMix][Success][loukoala1][TEST] - (ChaosSuccessRate: 100, ChaosMoney: 0)
00:39:38 [MasteryItemMix][Success][loukoala1][TEST] - (ChaosSuccessRate: 100, ChaosMoney: 0)
16:08:32 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
16:08:33 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
16:08:34 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
16:09:37 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 5 , MixNumber: 0)
16:09:37 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 5 , MixNumber: 1)
16:09:37 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 5 , MixNumber: 2)
16:09:37 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 5 , MixNumber: 3)
16:09:37 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 5 , MixNumber: 4)
18:09:12 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
18:09:13 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
18:09:16 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
18:09:19 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
18:09:21 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
18:09:23 [PlusItemLevelMix][Failure][test1][SumBiv] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000, ChaosAmulet: 1)
18:09:36 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
18:09:38 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
18:09:40 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
18:09:52 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
18:09:54 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
18:09:55 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
18:10:23 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 0, ChaosSuccessRate: 90, ChaosMoney: 2000000)
18:15:35 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 4 , MixNumber: 0)
18:15:35 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 4 , MixNumber: 1)
18:15:35 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 4 , MixNumber: 2)
18:15:35 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 4 , MixNumber: 3)
18:20:00 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 4 , MixNumber: 0)
18:20:00 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 4 , MixNumber: 1)
18:20:00 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 4 , MixNumber: 2)
18:20:00 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 4 , MixNumber: 3)
18:51:24 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 0)
18:51:24 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 1)
18:51:24 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 2)
18:51:24 [MagicStoneMix][Failure][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 3)
18:51:24 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 4)
18:51:24 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 5)
18:51:24 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 6)
18:51:43 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 5 , MixNumber: 0)
18:51:43 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 5 , MixNumber: 1)
18:51:43 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 5 , MixNumber: 2)
18:51:43 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 5 , MixNumber: 3)
18:51:43 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 5 , MixNumber: 4)
18:53:20 [WingRelic3Mix][Success][test][ElfBuff] - (ChaosSuccessRate: 29, ChaosMoney: 15000000)
18:53:28 [WingRelic3Mix][Failure][test][ElfBuff] - (ChaosSuccessRate: 25, ChaosMoney: 15000000)
19:07:54 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:07:56 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:07:59 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:08:00 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:08:02 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:08:04 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
19:08:21 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 0, ChaosSuccessRate: 90, ChaosMoney: 2000000)
19:08:23 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 1, ChaosSuccessRate: 90, ChaosMoney: 4000000)
19:08:40 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 2, ChaosSuccessRate: 80, ChaosMoney: 6000000)
19:08:41 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 3, ChaosSuccessRate: 80, ChaosMoney: 8000000)
19:09:09 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:09:11 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 1, ChaosSuccessRate: 90, ChaosMoney: 4000000)
19:12:13 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:12:14 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:12:16 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:12:18 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:12:20 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:12:22 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
19:14:15 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 1 , MixNumber: 0)
19:20:50 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 2 , MixNumber: 0)
19:20:50 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 2 , MixNumber: 1)
19:23:34 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:23:35 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:23:37 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:23:38 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:23:39 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:23:46 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
19:23:49 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:23:50 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:23:53 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:23:54 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:24:14 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:24:16 [PlusItemLevelMix][Failure][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000, ChaosAmulet: 1)
19:24:24 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:24:26 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:24:27 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:24:28 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:24:30 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:24:31 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
19:24:34 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:24:35 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:24:38 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:24:39 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:24:40 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:24:42 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
19:24:45 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:24:46 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:24:48 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:24:49 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:24:51 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:24:53 [PlusItemLevelMix][Failure][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000, ChaosAmulet: 1)
19:24:58 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:24:59 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:25:01 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:25:23 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:25:25 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:25:26 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:25:28 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:25:35 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:25:36 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:25:38 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:25:40 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:25:42 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:25:43 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
19:25:45 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:25:51 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:25:53 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:25:55 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:25:58 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:26:00 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:26:01 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
19:26:05 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:26:08 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
19:26:12 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:26:14 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
19:26:39 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 0)
19:26:39 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 1)
19:26:39 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 2)
19:26:39 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 3)
19:26:39 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 4)
19:26:39 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 5)
19:26:39 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 7 , MixNumber: 6)
19:27:11 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:27:12 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:27:13 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:27:15 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:27:17 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:27:19 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
19:27:23 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 1 , MixNumber: 0)
19:29:46 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
19:29:48 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
19:29:50 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
19:29:52 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 3, ChaosSuccessRate: 100, ChaosMoney: 8000000)
19:29:53 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 4, ChaosSuccessRate: 90, ChaosMoney: 10000000)
19:29:56 [PlusItemLevelMix][Success][test][ElfBuff] - (Type: 5, ChaosSuccessRate: 90, ChaosMoney: 12000000)
19:32:23 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 3 , MixNumber: 0)
19:32:23 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 3 , MixNumber: 1)
19:32:23 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 3 , MixNumber: 2)
19:37:49 [MagicStoneMix][Success][test][ElfBuff] - (ChaosSuccessRate: 0, MixCount: 1 , MixNumber: 0)
20:21:23 [MasteryItemMix][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 100, ChaosMoney: 0)
20:21:30 [MasteryItemMix][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 100, ChaosMoney: 0)
20:21:36 [MasteryItemMix][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 100, ChaosMoney: 0)
20:28:22 [AncientHeroSoulMix][Fail][kudoshjn][IKBiv] - (ChaosSuccessRate: 80, ChaosMoney: 0)
20:29:16 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
20:29:18 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
20:29:23 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 2, ChaosSuccessRate: 100, ChaosMoney: 6000000)
20:29:30 [AncientHeroSoulMix][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 80, ChaosMoney: 0)
20:29:36 [MasteryItemMix][Success][kudoshjn][IKBiv] - (ChaosSuccessRate: 100, ChaosMoney: 0)
20:31:10 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
20:31:12 [PlusItemLevelMix][Success][kudoshjn][IKBiv] - (Type: 1, ChaosSuccessRate: 100, ChaosMoney: 4000000)
23:27:01 [ElementalItemRefinemenJewelMix][Success][test1][SumBiv] - (ElementalItemRefinemenSuccessRate: 50, ElementalItemRefinemenMoney: 100000)
23:27:03 [ElementalItemRefinemenJewelMix][Failure][test1][SumBiv] - (ElementalItemRefinemenSuccessRate: 50, ElementalItemRefinemenMoney: 100000)
23:27:05 [ElementalItemRefinemenJewelMix][Failure][test1][SumBiv] - (ElementalItemRefinemenSuccessRate: 50, ElementalItemRefinemenMoney: 100000)
23:27:10 [ElementalItemRefinemenJewelMix][Failure][test1][SumBiv] - (ElementalItemRefinemenSuccessRate: 50, ElementalItemRefinemenMoney: 100000)
23:27:12 [ElementalItemRefinemenJewelMix][Success][test1][SumBiv] - (ElementalItemRefinemenSuccessRate: 50, ElementalItemRefinemenMoney: 100000)
23:27:40 [ElementalItemRefinemenJewelMix][Failure][test1][SumBiv] - (ElementalItemRefinemenSuccessRate: 50, ElementalItemRefinemenMoney: 100000)
