20:15:14 [Wing3Mix][Failure][kudoshjn][IKBiv] - (ChaosSuccessRate: 40, ChaosMoney: 15000000)
20:39:38 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:39:39 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:43:35 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:43:37 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:43:38 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:43:40 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:43:41 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:43:43 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:43:44 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:43:46 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:43:49 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:43:51 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:43:52 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:43:54 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:43:57 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:43:58 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:44:00 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:44:02 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:44:04 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:44:06 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:44:09 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:44:10 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:44:12 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:44:13 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:44:14 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:44:16 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:44:18 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:44:22 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:44:23 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:44:25 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:44:26 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:44:28 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:44:30 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:44:31 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:44:33 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:44:35 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:44:36 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:44:39 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:44:40 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:44:48 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:44:49 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:44:51 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:44:52 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:44:53 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:44:55 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:44:56 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:44:58 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:45:00 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:45:01 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:45:02 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:45:04 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:45:05 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:45:06 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:45:08 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:45:09 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:45:11 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:45:12 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:45:14 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:45:15 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:45:17 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:45:19 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:45:21 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:45:22 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:45:23 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:45:25 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:45:26 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:45:30 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:45:32 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:45:33 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:45:35 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:45:36 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:45:38 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:45:40 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:45:41 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:45:43 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:45:45 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:45:47 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:46:41 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 0, ChaosSuccessRate: 90, ChaosMoney: 2000000)
20:46:43 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 1, ChaosSuccessRate: 90, ChaosMoney: 4000000)
20:46:46 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 2, ChaosSuccessRate: 80, ChaosMoney: 6000000)
20:46:48 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 3, ChaosSuccessRate: 80, ChaosMoney: 8000000)
20:46:50 [PlusItemLevelMix][Failure][test1][SumBiv] - (Type: 4, ChaosSuccessRate: 70, ChaosMoney: 10000000, ChaosAmulet: 1)
20:47:02 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 0, ChaosSuccessRate: 90, ChaosMoney: 2000000)
20:47:06 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 1, ChaosSuccessRate: 90, ChaosMoney: 4000000)
20:47:08 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 2, ChaosSuccessRate: 80, ChaosMoney: 6000000)
20:47:11 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 3, ChaosSuccessRate: 80, ChaosMoney: 8000000)
20:47:13 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 4, ChaosSuccessRate: 70, ChaosMoney: 10000000)
20:47:16 [PlusItemLevelMix][Failure][test1][SumBiv] - (Type: 5, ChaosSuccessRate: 70, ChaosMoney: 12000000, ChaosAmulet: 1)
20:47:39 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 0, ChaosSuccessRate: 90, ChaosMoney: 2000000)
20:47:41 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 1, ChaosSuccessRate: 90, ChaosMoney: 4000000)
20:48:35 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 0, ChaosSuccessRate: 100, ChaosMoney: 2000000)
20:48:46 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 2, ChaosSuccessRate: 80, ChaosMoney: 6000000)
20:48:48 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 3, ChaosSuccessRate: 80, ChaosMoney: 8000000)
20:48:51 [PlusItemLevelMix][Failure][test1][SumBiv] - (Type: 4, ChaosSuccessRate: 70, ChaosMoney: 10000000, ChaosAmulet: 1)
20:49:02 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 0, ChaosSuccessRate: 90, ChaosMoney: 2000000)
20:49:03 [PlusItemLevelMix][Failure][test1][SumBiv] - (Type: 1, ChaosSuccessRate: 90, ChaosMoney: 4000000, ChaosAmulet: 1)
20:49:19 [PlusItemLevelMix][Failure][test1][SumBiv] - (Type: 0, ChaosSuccessRate: 90, ChaosMoney: 2000000, ChaosAmulet: 1)
20:49:30 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 0, ChaosSuccessRate: 90, ChaosMoney: 2000000)
20:49:32 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 1, ChaosSuccessRate: 90, ChaosMoney: 4000000)
20:49:34 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 2, ChaosSuccessRate: 80, ChaosMoney: 6000000)
20:49:35 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 3, ChaosSuccessRate: 80, ChaosMoney: 8000000)
20:49:36 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 4, ChaosSuccessRate: 70, ChaosMoney: 10000000)
20:49:38 [PlusItemLevelMix][Success][test1][SumBiv] - (Type: 5, ChaosSuccessRate: 70, ChaosMoney: 12000000)
20:51:57 [MasteryErrtelUpgradeRecv][Success][test1][SumBiv] - (MixRate: 100, MixMoney: 100000000)
20:52:12 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1000000)
20:52:14 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:52:20 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:52:22 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 65, MixMoney: 1500000)
20:52:23 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:52:25 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:52:26 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 60, MixMoney: 2000000)
20:52:28 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:52:29 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:52:31 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:52:32 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:52:36 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:52:37 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:52:39 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:52:40 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:52:43 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:52:45 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:52:47 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 2500000)
20:52:49 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 55, MixMoney: 3000000)
20:52:51 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:52:53 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:52:54 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:52:56 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:52:58 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:52:59 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:53:01 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:53:02 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:53:04 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:53:05 [ErrtelMasteryLevelUp][Failure][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:53:07 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 3500000)
20:53:09 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 50, MixMoney: 4000000)
20:53:10 [ErrtelMasteryLevelUp][Success][test1][SumBiv] - (MixRate: 45, MixMoney: 4500000)
20:54:59 [ElementalItemRefinemenJewelMix][Success][test1][SumBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
20:55:01 [ElementalItemRefinemenJewelMix][Failure][test1][SumBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
20:55:04 [ElementalItemRefinemenJewelMix][Failure][test1][SumBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
20:55:43 [ElementalItemRefinemenJewelMix][Failure][test1][SumBiv] - (ElementalItemRefinemenSuccessRate: 65, ElementalItemRefinemenMoney: 100000)
20:59:39 [ArtifactCreateMix][Success][test1][SumBiv] - (ChaosSuccessRate: 95, ChaosMoney: 10000000, MixCount: 1 , MixNumber: 0)
